,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
niggas_ain't_get,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
all_ain't_filled,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_01_1']
name_ain't_rdname,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
music_ain't_everywhere,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
much_ain't_changed,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_02_1']
motherfuckers_ain't_make,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
mother_ain't_love,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_05_1']
mother_ain't_constituentboundary,1,0.072,0.09,1,0.43,['DCA_se3_ag1_f_03_1']
me and school_ain't_get,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
man_ain't_take,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_01_1']
mama_ain't_spend,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
mama and papa_ain't_sound,1,0.072,0.09,1,0.43,['DCA_se2_ag2_m_02_1']
lights_ain't_came,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
kobe_ain't_there,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
nobody_ain't_hurt,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
nobody_ain't_knew,1,0.072,0.09,1,0.43,['DCB_se3_ag3_m_02_1']
nobody_ain't_knowed,1,0.072,0.09,1,0.43,['DCA_se3_ag1_f_03_1']
ones_ain't_taking,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
rdname_ain't_doing,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
rdname_ain't_dead,1,0.072,0.09,1,0.43,['DCA_se3_ag1_f_03_1']
principal_ain't_mean,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
princeville_ain't_old,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
presidents_ain't_having,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
play_ain't_going,1,0.072,0.09,1,0.43,['ATL_se0_ag2_f_02_1']
platters_ain't_rock and roll,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_01_2']
people_ain't_help,1,0.072,0.09,1,0.43,['LES_se0_ag4_f_01_2']
people_ain't_have,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_01_1']
pay_ain't_constituentboundary,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_01_1']
parents_ain't_going,1,0.072,0.09,1,0.43,['DCB_se3_ag1_m_01_2']
one_ain't_over,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
nobody_ain't_paying,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
obama_ain't_had,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_01_1']
nothing_ain't_yours,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
nothing_ain't_stop,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_03_1']
nothing_ain't_happen,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
nothing_ain't_going,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_2']
nothing_ain't_changed,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_02_1']
none_ain't_got,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
nobody_ain't_survive,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
nobody_ain't_standing,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
nobody_ain't_roll,1,0.072,0.09,1,0.43,['DCB_se1_ag1_m_01_1']
nobody_ain't_pick,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_01_1']
kids_ain't_different,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
it_ain't_worth,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
i_ain't_ran,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_01_2']
it_ain't_what,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
it_ain't_cheap,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_01_1']
it_ain't_by,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_03_1']
it_ain't_big,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
it_ain't_better,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
it_ain't_be,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
i_ain't_writing,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
i_ain't_watch,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
i_ain't_understood,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
i_ain't_touch,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
i_ain't_telling,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
i_ain't_talk,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
i_ain't_take,1,0.072,0.09,1,0.43,['DCB_se3_ag3_m_02_1']
i_ain't_sure,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_1']
i_ain't_supporter,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
i_ain't_study,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_05_1']
i_ain't_studied,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_03_1']
i_ain't_steer,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
i_ain't_staying,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
i_ain't_spend,1,0.072,0.09,1,0.43,['ROC_se0_ag2_f_02_1']
i_ain't_sing,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_01_2']
i_ain't_show,1,0.072,0.09,1,0.43,['DCB_se1_ag4_f_01_2']
i_ain't_serious,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
i_ain't_ride or die,1,0.072,0.09,1,0.43,['VLD_se0_ag3_f_01_2']
i_ain't_reached,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
i_ain't_reach,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_1']
it_ain't_coming,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
it_ain't_crazy,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
it_ain't_deep,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_01_1']
it_ain't_network,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
it_ain't_trying,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_2']
it_ain't_town,1,0.072,0.09,1,0.43,['PRV_se0_ag2_f_03_1']
it_ain't_time,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
it_ain't_take,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_01_1']
it_ain't_taco bell,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
it_ain't_same,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
it_ain't_real,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_01_1']
it_ain't_point,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
it_ain't_personal,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_01_1']
it_ain't_peace,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
it_ain't_parenting,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
it_ain't_name,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
it_ain't_difference,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_02_1']
it_ain't_martin,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
it_ain't_making,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_05_1']
it_ain't_late,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_01_2']
it_ain't_hot,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
it_ain't_hard,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
it_ain't_happening,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_02_1']
it_ain't_good,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
it_ain't_going,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
it_ain't_go,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
it_ain't_fun,1,0.072,0.09,1,0.43,['DCB_se3_ag4_m_01_1']
it_ain't_for,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
you_ain't_young,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
